source,target,label,weight,sample_doc_ids,sample_claim_ids,action_class
Harvard University,Jeffrey Epstein,claimed board membership at,29.0,"[""HOUSE_OVERSIGHT_010561"",""HOUSE_OVERSIGHT_013471"",""HOUSE_OVERSIGHT_017771"",""HOUSE_OVERSIGHT_017785"",""HOUSE_OVERSIGHT_018013""]","[""HOUSE_OVERSIGHT_010561:2"",""HOUSE_OVERSIGHT_013471:7"",""HOUSE_OVERSIGHT_017771:24"",""HOUSE_OVERSIGHT_017785:9"",""HOUSE_OVERSIGHT_017785:10""]",academic_philanthropic
Harvard University,Alan M. Dershowitz,requested investigation by,2.0,"[""HOUSE_OVERSIGHT_017235"",""HOUSE_OVERSIGHT_030059""]","[""HOUSE_OVERSIGHT_017235:3"",""HOUSE_OVERSIGHT_030059:1""]",investigative
MC2 modeling agency,Jeffrey Epstein,provided financial support to,18.0,"[""HOUSE_OVERSIGHT_010590"",""HOUSE_OVERSIGHT_011934"",""HOUSE_OVERSIGHT_011935"",""HOUSE_OVERSIGHT_011945"",""HOUSE_OVERSIGHT_013343""]","[""HOUSE_OVERSIGHT_010590:2"",""HOUSE_OVERSIGHT_011934:0"",""HOUSE_OVERSIGHT_011934:1"",""HOUSE_OVERSIGHT_011935:4"",""HOUSE_OVERSIGHT_011945:1""]",academic_philanthropic
MC2 modeling agency,Jean-Luc Didier Henri-Rene Brunel,ran,10.0,"[""HOUSE_OVERSIGHT_010590"",""HOUSE_OVERSIGHT_011949"",""HOUSE_OVERSIGHT_011952"",""HOUSE_OVERSIGHT_013343"",""HOUSE_OVERSIGHT_021983""]","[""HOUSE_OVERSIGHT_010590:3"",""HOUSE_OVERSIGHT_011949:1"",""HOUSE_OVERSIGHT_011952:2"",""HOUSE_OVERSIGHT_013343:2"",""HOUSE_OVERSIGHT_021983:1""]",business_recruitment
MC2 modeling agency,Jean Luc Brunel,operated,8.0,"[""HOUSE_OVERSIGHT_011927"",""HOUSE_OVERSIGHT_011931"",""HOUSE_OVERSIGHT_011933"",""HOUSE_OVERSIGHT_011934"",""HOUSE_OVERSIGHT_011951""]","[""HOUSE_OVERSIGHT_011927:3"",""HOUSE_OVERSIGHT_011931:11"",""HOUSE_OVERSIGHT_011933:6"",""HOUSE_OVERSIGHT_011934:2"",""HOUSE_OVERSIGHT_011951:3""]",business_recruitment
Palm Beach Police Department,Jeffrey Epstein,surrendered to,137.0,"[""HOUSE_OVERSIGHT_010523"",""HOUSE_OVERSIGHT_011931"",""HOUSE_OVERSIGHT_011933"",""HOUSE_OVERSIGHT_012160"",""HOUSE_OVERSIGHT_018872_part4""]","[""HOUSE_OVERSIGHT_010523:1"",""HOUSE_OVERSIGHT_011931:5"",""HOUSE_OVERSIGHT_011931:6"",""HOUSE_OVERSIGHT_011933:2"",""HOUSE_OVERSIGHT_012160:0""]",investigative
Palm Beach Police Department,Alan M. Dershowitz,repeatedly rescheduled meeting with,9.0,"[""HOUSE_OVERSIGHT_010757_part3"",""HOUSE_OVERSIGHT_010838"",""HOUSE_OVERSIGHT_018872_part4"",""HOUSE_OVERSIGHT_019020"",""HOUSE_OVERSIGHT_021824_part2""]","[""HOUSE_OVERSIGHT_010757_part3:17"",""HOUSE_OVERSIGHT_010757_part3:18"",""HOUSE_OVERSIGHT_010838:5"",""HOUSE_OVERSIGHT_018872_part4:39"",""HOUSE_OVERSIGHT_019020:7""]",other
Palm Beach Police Department,Jeffrey Epstein's residence,executed search warrant at,7.0,"[""HOUSE_OVERSIGHT_010566"",""HOUSE_OVERSIGHT_013304_part1"",""HOUSE_OVERSIGHT_018996"",""HOUSE_OVERSIGHT_019379"",""TEXT-001-HOUSE_OVERSIGHT_021764""]","[""HOUSE_OVERSIGHT_010566:3"",""HOUSE_OVERSIGHT_013304_part1:31"",""HOUSE_OVERSIGHT_018996:0"",""HOUSE_OVERSIGHT_018996:6"",""HOUSE_OVERSIGHT_019379:3""]",investigative
Palm Beach Police Department,Saige Gonzales,lied about age to,6.0,"[""HOUSE_OVERSIGHT_022722"",""HOUSE_OVERSIGHT_022952"",""HOUSE_OVERSIGHT_022967"",""TEXT-001-HOUSE_OVERSIGHT_022952"",""HOUSE_OVERSIGHT_022721""]","[""HOUSE_OVERSIGHT_022722:8"",""HOUSE_OVERSIGHT_022952:13"",""HOUSE_OVERSIGHT_022967:0"",""TEXT-001-HOUSE_OVERSIGHT_022952:10"",""HOUSE_OVERSIGHT_022721:7""]",investigative
Palm Beach Police Department,Alfredo Rodriguez,contacted law enforcement regarding suspicious arrival,4.0,"[""HOUSE_OVERSIGHT_011930"",""HOUSE_OVERSIGHT_018872_part2"",""HOUSE_OVERSIGHT_021667"",""HOUSE_OVERSIGHT_019352""]","[""HOUSE_OVERSIGHT_011930:9"",""HOUSE_OVERSIGHT_018872_part2:9"",""HOUSE_OVERSIGHT_021667:5"",""HOUSE_OVERSIGHT_019352:5""]",investigative
