Source,Target,Type,Weight,target_entity_type,action_class,Label,all_actions,sample_claim_ids,sample_doc_ids
Harvard University,Jeffrey Epstein,Undirected,29,victim,academic_philanthropic,claimed board membership at,"[""claimed board membership at"",""donated"",""pledged funds to"",""pledged philanthropic donation to"",""established named program at"",""pledged_funds"",""received_office_at"",""pledged_contribution_of"",""has given millions to"",""pledged financial contribution to"",""pledged"",""donated to"",""funded research at"",""funded research program at"",""funded program at"",""planned media or academic engagement with"",""made charitable contribution to"",""proposed video project"",""requested assistance with"",""pledged donation"",""provided_gift""]","[""HOUSE_OVERSIGHT_010561:2"",""HOUSE_OVERSIGHT_013471:7"",""HOUSE_OVERSIGHT_017771:24"",""HOUSE_OVERSIGHT_017785:9"",""HOUSE_OVERSIGHT_017785:10""]","[""HOUSE_OVERSIGHT_010561"",""HOUSE_OVERSIGHT_013471"",""HOUSE_OVERSIGHT_017771"",""HOUSE_OVERSIGHT_017785"",""HOUSE_OVERSIGHT_018013""]"
Harvard University,Alan M. Dershowitz,Undirected,2,legal counsel,investigative,requested investigation by,"[""requested investigation by"",""holds_position as law professor at""]","[""HOUSE_OVERSIGHT_017235:3"",""HOUSE_OVERSIGHT_030059:1""]","[""HOUSE_OVERSIGHT_017235"",""HOUSE_OVERSIGHT_030059""]"
MC2 modeling agency,Jeffrey Epstein,Undirected,18,victim,academic_philanthropic,provided financial support to,"[""provided financial support to"",""invested"",""associated with"",""provides financial support to"",""recruited through"",""invested money in"",""invested in modeling agency"",""facilitated international recruitment of minors"",""provided support and funding for"",""provided financial support for"",""established"",""provided financing to establish"",""sourced girls for"",""recruited girls for"",""recruited and transported girls for""]","[""HOUSE_OVERSIGHT_010590:2"",""HOUSE_OVERSIGHT_011934:0"",""HOUSE_OVERSIGHT_011934:1"",""HOUSE_OVERSIGHT_011935:4"",""HOUSE_OVERSIGHT_011945:1""]","[""HOUSE_OVERSIGHT_010590"",""HOUSE_OVERSIGHT_011934"",""HOUSE_OVERSIGHT_011935"",""HOUSE_OVERSIGHT_011945"",""HOUSE_OVERSIGHT_013343""]"
MC2 modeling agency,Jean-Luc Didier Henri-Rene Brunel,Undirected,10,business associate,business_recruitment,ran,"[""ran"",""owned"",""owned stake in"",""runs"",""traveled to scout for undiscovered talent with"",""renamed agency from Karin to"",""worked as modeling agent and scout for"",""allegedly recruited underage girls from foreign countries for"",""traveled internationally as scout for"",""operates""]","[""HOUSE_OVERSIGHT_010590:3"",""HOUSE_OVERSIGHT_011949:1"",""HOUSE_OVERSIGHT_011952:2"",""HOUSE_OVERSIGHT_013343:2"",""HOUSE_OVERSIGHT_021983:1""]","[""HOUSE_OVERSIGHT_010590"",""HOUSE_OVERSIGHT_011949"",""HOUSE_OVERSIGHT_011952"",""HOUSE_OVERSIGHT_013343"",""HOUSE_OVERSIGHT_021983""]"
MC2 modeling agency,Jean Luc Brunel,Undirected,8,,business_recruitment,operated,"[""operated"",""owned and operated"",""owned modeling agency used for"",""owned"",""worked_for"",""operated modeling agency"",""used""]","[""HOUSE_OVERSIGHT_011927:3"",""HOUSE_OVERSIGHT_011931:11"",""HOUSE_OVERSIGHT_011933:6"",""HOUSE_OVERSIGHT_011934:2"",""HOUSE_OVERSIGHT_011951:3""]","[""HOUSE_OVERSIGHT_011927"",""HOUSE_OVERSIGHT_011931"",""HOUSE_OVERSIGHT_011933"",""HOUSE_OVERSIGHT_011934"",""HOUSE_OVERSIGHT_011951""]"
Palm Beach Police Department,Jeffrey Epstein,Undirected,137,victim,investigative,surrendered to,"[""surrendered to"",""made large contributions to"",""received PBPD baseball hats"",""made donations to"",""was_investigated_by"",""offered to make available for police interview"",""donated"",""booked by law enforcement"",""delivered"",""donated money to"",""was investigated by"",""claimed to donate regular $100,000 to"",""provided financial support to"",""donated to"",""made contributions to"",""was arrested by"",""arrested by"",""allegedly removed cameras before raid by"",""was investigated for sexual trafficking"",""made contribution to"",""came under investigation by"",""became subject of investigation by"",""faced investigation by"",""faced legal investigation and charges"",""began investigation of"",""conducted search warrant walk-through"",""sought to charge"",""investigated"",""sought felony charges against"",""requested federal investigation into"",""surveilled"",""conducted trash pulls at"",""executed search warrant at"",""began investigating"",""opened criminal investigation of"",""investigated sexual abuse by"",""conducted investigation and filed charges against"",""initiated criminal investigation of"",""said"",""requested FBI investigation of"",""initiated investigation of"",""conducted surveillance of residence and airport activities of"",""collected and analyzed trash from residence of"",""requested arrest warrants and charging recommendations for"",""conducted investigation of"",""booked"",""urged"",""found_evidence"",""used_press_to_embarrass"",""concluded investigation of"",""conducted investigation into"",""prepared affidavit to obtain arrest warrant for"",""sought arrest of"",""initiated investigation into"",""released on bond"",""stated that alleged victims were minors"",""searched home of"",""indicted"",""launched investigation into"",""documented probable cause against"",""concluded investigation that"",""searched trash and home"",""conducted 11-month investigation concluding"",""searched home and collected evidence including phone messages and high school transcript of"",""charged with"",""conducted surveillance of"",""subpoenaed phone records of"",""searched trash of"",""searched trash and home of"",""started investigation"",""searched residence and garbage of"",""intercepted trash from"",""attempted to interview"",""arrested"",""signed probable cause affidavit charging"",""discovered telephone message for"",""filed probable cause affidavit charging"",""conducted trash pulls at home"",""requested arrest warrant for"",""conducted undercover investigation"",""conducted undercover investigation into"",""conducted"",""requested warrants to arrest"",""investigated allegations against"",""conducted investigation""]","[""HOUSE_OVERSIGHT_010523:1"",""HOUSE_OVERSIGHT_011931:5"",""HOUSE_OVERSIGHT_011931:6"",""HOUSE_OVERSIGHT_011933:2"",""HOUSE_OVERSIGHT_012160:0""]","[""HOUSE_OVERSIGHT_010523"",""HOUSE_OVERSIGHT_011931"",""HOUSE_OVERSIGHT_011933"",""HOUSE_OVERSIGHT_012160"",""HOUSE_OVERSIGHT_018872_part4""]"
Palm Beach Police Department,Alan M. Dershowitz,Undirected,9,legal counsel,other,repeatedly rescheduled meeting with,"[""repeatedly rescheduled meeting with"",""provided incomplete flight logs to"",""informed"",""sent letter and myspace profiles to"",""sent letter to"",""repeatedly rescheduled meetings with"",""provided flight logs to"",""made_available"",""was told by""]","[""HOUSE_OVERSIGHT_010757_part3:17"",""HOUSE_OVERSIGHT_010757_part3:18"",""HOUSE_OVERSIGHT_010838:5"",""HOUSE_OVERSIGHT_018872_part4:39"",""HOUSE_OVERSIGHT_019020:7""]","[""HOUSE_OVERSIGHT_010757_part3"",""HOUSE_OVERSIGHT_010838"",""HOUSE_OVERSIGHT_018872_part4"",""HOUSE_OVERSIGHT_019020"",""HOUSE_OVERSIGHT_021824_part2""]"
Palm Beach Police Department,Jeffrey Epstein's residence,Undirected,7,,investigative,executed search warrant at,"[""executed search warrant at"",""executed search warrant on"",""discovered hidden surveillance cameras at"",""monitored"",""searched"",""executed_search_warrant_at""]","[""HOUSE_OVERSIGHT_010566:3"",""HOUSE_OVERSIGHT_013304_part1:31"",""HOUSE_OVERSIGHT_018996:0"",""HOUSE_OVERSIGHT_018996:6"",""HOUSE_OVERSIGHT_019379:3""]","[""HOUSE_OVERSIGHT_010566"",""HOUSE_OVERSIGHT_013304_part1"",""HOUSE_OVERSIGHT_018996"",""HOUSE_OVERSIGHT_019379"",""TEXT-001-HOUSE_OVERSIGHT_021764""]"
Palm Beach Police Department,Saige Gonzales,Undirected,6,victim,investigative,lied about age to,"[""lied about age to"",""reported to police"",""told police"",""provided information to"",""interviewed""]","[""HOUSE_OVERSIGHT_022722:8"",""HOUSE_OVERSIGHT_022952:13"",""HOUSE_OVERSIGHT_022967:0"",""TEXT-001-HOUSE_OVERSIGHT_022952:10"",""HOUSE_OVERSIGHT_022721:7""]","[""HOUSE_OVERSIGHT_022722"",""HOUSE_OVERSIGHT_022952"",""HOUSE_OVERSIGHT_022967"",""TEXT-001-HOUSE_OVERSIGHT_022952"",""HOUSE_OVERSIGHT_022721""]"
Palm Beach Police Department,Alfredo Rodriguez,Undirected,4,staff member,investigative,contacted law enforcement regarding suspicious arrival,"[""contacted law enforcement regarding suspicious arrival"",""provided sworn statement regarding young victims to"",""called 911"",""conducted sworn interview with""]","[""HOUSE_OVERSIGHT_011930:9"",""HOUSE_OVERSIGHT_018872_part2:9"",""HOUSE_OVERSIGHT_021667:5"",""HOUSE_OVERSIGHT_019352:5""]","[""HOUSE_OVERSIGHT_011930"",""HOUSE_OVERSIGHT_018872_part2"",""HOUSE_OVERSIGHT_021667"",""HOUSE_OVERSIGHT_019352""]"
